description,date,title,name_medio,scope_medio
"Antonela Roccuzzo se sumó a la súplica para que frenen los incendios en el país y, en su caso, pidió que se extinga el fuego en Rosario, su ciudad natal, donde también nació su esposo, Lionel Messi.",2020-09-10,"""Rosario se quema"": el urgente pedido de Antonela Roccuzzo por los incendios en su ciudad natal",La Nación,Nacional
"El incendio tiene lugar en un campo próximo a la autopista. Bomberos de Manfredi y Oncativo trabajan en la zona.
                                                    Este jueves se desató un incendio en un campo ubicado en Oncativo, una localidad ubicada a 76 kilómetros de Córdoba capital.",2020-09-10,"Por un incendio en Oncativo, cortan la ruta 9 a la altura del kilómetro 636",La Voz,Provincial
"De esta manera, son cinco las provincias que continúan afectadas por el fuego: Córdoba, Santa Fe, Entre Ríos, Mendoza y Buenos Aires. Un helicóptero del Ministerio de Seguridad colabora con los trabajos en la zona.",2020-09-10,Berazategui suma un foco activo a los incendios forestales en el país,Télam,Nacional
Los agresores dejaron carteles donde reivindican a Facundo Jones Huala  y la lucha armada. ,2020-09-09,Triple ataque mapuche en el Sur: agreden a guardaparques y causan dos incendios en nombre de la RAM,Clarín,Nacional
"Había sido rescatado por bomberos de Cosquín y trasladado a la Fundación Sin Estribo.
        Hace unas horas falleció Tony, el caballo que había sido rescatados por bomberos de Cosquín y trasladado a la fundación Sin Estribo.",2020-09-09,"Incendios en Córdoba: murió Tony, el caballo que había sobrevivido a la furia de las llamas en el Pan de Azúcar",La Voz,Provincial
"Córdoba, Santa Fe, Entre Ríos y San Luis pudieron contener la situación, según el informe del Servicio Nacional de Manejo del Fuego. El foco mendocino se desarrolla en el departamento de Lavalle.",2020-09-09,Cuatro provincias siguen afectadas por los incendios y Mendoza continúa con un foco activo,Télam,Nacional
"Ocho cuarteles de bomberos lograron esta madrugada extinguir el incendio forestal que se registró en cercanías de la localidad cordobesa de Mina Clavero, y los efectivos hopitalizaron recibieron el alta.",2020-09-09,Controlaron el incendio en el Valle de Traslasierra y dieron de alta a bomberos heridos,Télam,Nacional
"Lo controlaron durante la madrugada. Hubo bomberos con quemaduras leves y una mujer debió ser internada. 
        Los bomberos lograron extinguir esta madrugada un importante foco de incendio en Mina Clavero, en Traslasierra, en la zona del paraje San Lorenzo.",2020-09-09,Bomberos extinguieron el incendio en Mina Clavero,La Voz,Provincial
"El foco ígneo se produjo en la jurisdicción de Mina Clavero. Trabajan cincuenta efectivos de ocho cuarteles de la Regional N° 11 con tres unidades pesadas, cuatro livianas y dos aviones hidrantes.",2020-09-08,Incendio en Traslasierra: cuatro bomberos lesionados con quemaduras de primer grado,La Voz,Provincial
"A partir de 2017 y hasta la fecha fue aumentando el nivel de conflictividad entre la comunidad mapuche Lafken Winkul Mapu y los vecinos de Villa Mascardi. Desde el Sur aún llegan noticias de casas tomadas, agresiones e incendios intencionales. Pero dentro del bosque, frente al lago Mascardi, también hay ejemplos de comunidades que han logrado una profunda integración con los vecinos y desarrollaron su economía a partir de su identidad cultural, sin dejar de lado el reclamo por sus tierras ancestrales. Tal es el caso del lof Wiritray.",2020-09-07,"Villa Mascardi. Lof Wiritray, la comunidad mapuche que prospera con esfuerzo y en paz",La Nación,Nacional
